Date,Open,High,Low,Close,Adj Close,Volume
2019-07-02,26.343800,26.562500,26.125000,26.557501,26.506596,5688800
2019-07-03,26.478800,27.608700,26.405001,27.606300,27.553385,10816800
2019-07-04,27.827499,28.000000,27.637501,27.637501,27.584524,9079200
2019-07-05,27.750000,28.521200,27.557501,28.260000,28.205832,7875200
2019-07-08,28.261200,28.900000,28.150000,28.674999,28.620035,7542400
2019-07-10,28.906200,29.486200,28.906200,29.187500,29.131552,8953600
2019-07-11,29.475000,29.475000,28.643700,28.846300,28.791006,8629600
2019-07-12,29.375000,30.045000,29.000000,29.006300,28.950701,15444000
2019-07-15,29.375000,29.423700,28.753700,28.831200,28.775936,7490400
2019-07-16,28.981300,29.273800,28.931200,29.250000,29.193933,5578400
2019-07-17,29.637501,31.367500,29.637501,30.548700,30.490145,20922400
2019-07-18,30.938700,31.306200,30.638800,30.875000,30.815819,9964800
2019-07-19,31.125000,31.174999,29.756300,29.756300,29.699263,12112000
2019-07-22,30.125000,30.933800,29.875000,30.918800,30.859535,11978400
2019-07-23,31.127501,31.197500,30.168800,30.250000,30.192017,9096800
2019-07-24,30.375000,31.137501,30.375000,30.726200,30.667303,6944800
2019-07-25,30.962500,31.032499,30.266300,30.559999,30.501421,8982400
2019-07-26,30.777500,31.725000,30.612499,31.500000,31.439619,9471200
2019-07-29,31.500000,33.055000,31.331200,32.974998,32.911793,11562400
2019-07-30,32.974998,33.930000,32.877499,33.068699,33.005310,14125600
2019-07-31,33.487499,33.750000,32.542500,32.965000,32.901814,12604800
2019-08-01,33.687500,34.904999,33.537498,34.562500,34.496250,19848800
2019-08-02,35.075001,35.598801,34.687500,35.443699,35.375759,11416800
2019-08-05,35.250000,35.250000,34.413700,34.500000,34.433868,14879200
2019-08-06,35.590000,37.060001,35.529999,36.599998,36.529842,17456100
2019-08-07,36.900002,36.900002,35.240002,36.310001,36.240402,11607900
2019-08-08,36.700001,37.340000,36.549999,37.139999,37.068810,9756600
2019-08-09,37.150002,38.660000,37.139999,37.779999,37.707581,12072100
2019-08-12,37.770000,37.770000,35.970001,36.419998,36.350189,9684700
2019-08-13,37.599998,38.299999,37.419998,37.849998,37.777447,16111100
2019-08-14,37.369999,38.250000,36.580002,36.950001,36.879173,13248900
2019-08-15,37.500000,38.029999,36.110001,36.310001,36.240402,10076700
2019-08-16,37.590000,37.849998,36.400002,37.560001,37.488007,8958600
2019-08-19,38.070000,38.200001,37.299999,37.830002,37.757488,5789500
2019-08-20,37.650002,37.680000,36.209999,36.529999,36.459976,10335600
2019-08-21,36.770000,37.220001,36.540001,36.540001,36.469959,6381100
2019-08-22,36.700001,36.900002,34.279999,34.430000,34.364002,13206600
2019-08-23,33.650002,34.980000,32.980000,33.779999,33.715248,16599800
2019-08-26,34.849998,35.000000,33.250000,33.700001,33.635403,9653400
2019-08-27,34.259998,34.930000,33.820000,34.209999,34.144424,13015100
2019-08-28,34.009998,34.980000,33.500000,34.910000,34.843082,11048900
2019-08-29,35.590000,37.259998,35.349998,37.259998,37.188576,13966500
2019-08-30,37.599998,37.930000,35.910000,36.290001,36.220440,11111400
2019-09-02,36.500000,36.939999,36.080002,36.610001,36.539825,6832200
2019-09-03,36.279999,37.380001,35.779999,35.880001,35.811226,7398000
2019-09-04,36.660000,37.200001,36.349998,37.200001,37.128696,7856200
2019-09-05,37.500000,37.790001,36.650002,36.700001,36.629654,7157900
2019-09-06,36.980000,37.060001,35.849998,36.000000,35.930996,7881600
2019-09-09,36.090000,36.160000,33.509998,34.200001,34.134445,14356800
2019-09-10,33.000000,33.310001,31.629999,32.500000,32.437702,24012600
2019-09-11,33.700001,34.650002,33.150002,34.599998,34.533676,16414500
2019-09-12,35.000000,35.389999,33.880001,35.000000,34.932911,12629300
2019-09-13,35.220001,35.270000,34.049999,34.099998,34.034634,7778800
2019-09-16,33.799999,34.869999,32.770000,34.869999,34.803158,10675200
2019-09-17,34.139999,35.180000,33.830002,34.849998,34.783195,10363900
2019-09-18,34.500000,35.200001,34.450001,35.060001,34.992798,6393800
2019-09-19,35.400002,36.349998,35.400002,35.810001,35.741360,11576000
2019-09-20,35.939999,36.560001,35.450001,36.560001,36.489922,10679600
2019-09-23,36.580002,36.580002,35.740002,35.990002,35.921017,6168400
2019-09-24,36.099998,37.000000,35.970001,36.770000,36.699520,9428700
2019-09-25,36.549999,36.869999,35.750000,36.720001,36.649616,5665200
2019-09-26,36.810001,37.270000,36.509998,36.570000,36.499901,6935100
2019-09-27,36.560001,36.840000,36.150002,36.799999,36.729462,4086600
2019-09-30,36.750000,37.220001,36.540001,37.040001,36.969002,5172100
2019-10-01,37.150002,37.450001,36.709999,37.450001,37.378216,6463700
2019-10-02,37.150002,37.290001,36.270000,36.500000,36.430035,8871700
2019-10-03,36.560001,37.299999,36.049999,37.299999,37.228500,5797500
2019-10-04,37.400002,38.919998,37.299999,38.779999,38.705666,14940000
2019-10-07,38.599998,39.750000,38.160000,38.400002,38.326397,9909300
2019-10-08,38.639999,38.970001,37.860001,38.000000,38.000000,10663300
2019-10-09,38.299999,39.680000,38.279999,39.650002,39.650002,8973400
2019-10-10,39.700001,39.980000,38.799999,38.939999,38.939999,7602600
2019-10-11,39.480000,40.750000,39.360001,40.500000,40.500000,10985200
2019-10-14,40.000000,42.169998,39.900002,42.169998,42.169998,11031200
2019-10-15,42.200001,42.799999,41.230000,41.799999,41.799999,9588300
2019-10-16,41.610001,42.880001,40.970001,42.759998,42.759998,10302800
2019-10-17,42.700001,44.349998,42.599998,43.169998,43.169998,13354000
2019-10-18,43.439999,43.950001,42.349998,43.000000,43.000000,7146100
2019-10-21,43.349998,43.549999,42.419998,43.099998,43.099998,6180400
2019-10-22,43.189999,43.980000,43.169998,43.720001,43.720001,5996400
2019-10-23,43.590000,43.990002,42.919998,43.490002,43.490002,8091400
2019-10-24,43.490002,43.950001,43.160000,43.250000,43.250000,5986100
2019-10-25,43.380001,43.500000,42.000000,42.000000,42.000000,8152100
2019-10-28,42.200001,43.180000,42.049999,42.669998,42.669998,10587000
2019-10-29,43.180000,43.389999,40.630001,41.150002,41.150002,12482700
